canonical name,description,attributes
about
account
account_guest
address_add
address_edit
cart
cart_add
cart_quantity,select the quantity of the item in the shopping cart
cart_remove
category
city_spinner
contact
filter_option
filter_sort
get_started,screen that shows get started
help
home,home screen (usually has tabs etc)
item_detail
items
menu,menu screen (usually a side bar)
menu_guest
menu_profile
more_info
profile_edit
search
setting
sign_in,sign in screen with inputs fields of email/pwd etc,str_email#str_pwd#bool_showpwd#bool_remember
sign_in_option
sign_in_or_sign_up,the screen to choose whether to sign in or sign up
sign_in_pwd
sign_in_username,input field for username/firstname/lastname/email/phone when signing in
sign_up
sign_up_birthday
sign_up_gmail,choose the suggested gmail address or create your own gmail address
sign_up_option
sign_up_pwd
sign_up_username,input field for username/firstname/lastname/email/phone when signing up
skip
state_spinner
terms
