canonical name,additional description
about
account
account_guest
article_detail
bookmarks
category
contact
get_started
help
home
menu
menu_guest
menu_profile
more_info
search
search_results
setting
sign_in
sign_in_option
sign_in_or_sign_up
sign_in_pwd
sign_in_username,input field for username/firstname/lastname/email/phone when signing in
sign_up
sign_up_birthday
sign_up_gmail,choose the suggested gmail address or create your own gmail address
sign_up_option
sign_up_pwd
sign_up_username,input field for username/firstname/lastname/email/phone when signing up
skip
terms
text_size
